external_id,name,short_description,long_description,street_address_1,street_address_2,city,state,zip_code,phone,email,website,instagram_account,primary_photo_url,photo_urls,is_active
10,Wild Air,"Casual and creative culinary stylings in the form of shareable small plates, alongside an all-natural wine list of highly drinkable bottles.
","To call Wildair a wine bar is to vastly undersell it - an offshoot of Contra, the neighboring venture from chef owners Jeremiah Stone and Fabian von Hauske offers a more casual but no less creative taste of their whimsical culinary stylings in the form of shareable small plates, alongside an all-natural wine list of highly drinkable bottles from extraordinary producers around the world. Make sure to save room for dessert.",142 Orchard Street,,New York,NY,10002,,,https://www.wildair.nyc/,wildairnyc,https://cdn.sanity.io/images/h20inf57/production/cb4aeaa69c4a717608801e4b95737df4f182de48-2048x1367.jpg?w=2440&auto=format,"[""https://cdn.sanity.io/images/h20inf57/production/609165ceabc4f5913b228696ba64ce3c58ad37de-2510x1666.png?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/069a8a58d1cd7fea14d0d1282f97629000654740-1200x800.jpg?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/d6a9bf51c6270bc040a4ce2b5a1fd605a11643b5-1280x720.jpg?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/cb4aeaa69c4a717608801e4b95737df4f182de48-2048x1367.jpg?w=2440&auto=format""]",TRUE
55,All Time,Tyler and Ashley Wells' all-day cafe in the heart of Los Feliz with culinary offerings and sprawling indoor-outdoor dining.,"Tyler and Ashley Wells' all-day cafe in the heart of Los Feliz traverses a lot of territory, both in terms of its culinary offerings and the physical space. It's the rare neighborhood gem that offers a dependable menu of coffee, pastries, and lunch options during daylight hours, and a destination-worthy dinner spread, including slabs of focaccia slathered with burrata and sungolds, as well as the matter of factly named ""good ass salad"" and ""big steak event."" The sprawling indoor-outdoor dining area can be sectioned off to accommodate groups. The open air greenhouse seats up to twelve, and the outdoor deck offers seating for 20. (These adjacent spaces can also be booked together, though they are not continuous). For indoor dining, the wine room accommodates up to ten seated guests, and includes its own private entrance and restroom.",2040 Hillhurst Avenue,,Los Angeles,CA,90027,,,https://alltimelosangeles.com/,freakinalltime,https://cdn.sanity.io/images/h20inf57/production/baec781b637d548d1ce7f119e57550e50d817a8f-1024x682.jpg,"[""https://cdn.sanity.io/images/h20inf57/production/501d8a8e815fa8b641a56ed064b2e6227bb553de-1440x1800.jpg"",""https://cdn.sanity.io/images/h20inf57/production/7c265d988d2bdfbd6f52ffa837a846d25e7e56d1-683x1024.jpg""]",TRUE
56,A.O.C.,Chef Suzanne Goin's elegant seasonal California cooking with easy yet sophisticated dishes.,"Chef Suzanne Goin has made a name for herself with easy yet elegant seasonal California cooking, working under fellow Golden State icons like Alice Waters and Mark Peel before opening her first restaurant, Lucques, in 1998. At A.O.C., her beloved West Hollywood wine bar, the effortlessly chic cooking is perfectly matched by a beautifully homey atmosphere, including a main dining room replete with hefty dark wooden beams and a rustic fireplace, as well as an adjacent vine-wrapped garden accented with laurel trees.",8700 West 3rd Street,,Los Angeles,CA,90048,,,https://www.aocwinebar.com/,aocla,https://cdn.sanity.io/images/h20inf57/production/2205943fa9d997731942fe392b9be2892029d967-960x640.webp?w=960&auto=format,"[""https://cdn.sanity.io/images/h20inf57/production/7bd186c336ec41b3428804da554ee68496478d26-1440x1440.jpg?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/e092d9637e33296d70756f3b53c4915fa454a616-960x518.webp?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/dcc66d662ef2c3953e16bfeaa2787e7a83592907-960x518.webp?w=2440&auto=format""]",TRUE
57,Alta Adams,Chefs Keith Corbin and Daniel Patterson's restaurant offering innovative dishes and flexible seating arrangements.,"Chefs Keith Corbin and Daniel Patterson first met at LocoL... or a ""half seated"" layout for 30 guests with a dedicated standing area for cocktails.",5259 West Adams Boulevard,,Los Angeles,CA,90016,,,https://altaadams.com/,altarestaurant,https://cdn.sanity.io/images/h20inf57/production/6486a128740189fe8f177c62ca4f1545be6dc150-1024x682.webp?w=960&auto=format,[],TRUE
58,Altro Paradiso,Italian cafe from chef Ignacio Mattos with seasonal menu and high ceilings overlooking Sixth Avenue.,"This Italian cafe from chef Ignacio Mattos offers a seasonal menu of ingredient-driven antipasti and excellent housemade pastas, alongside a small but frequently changing selection of meat and fish secondi. While the food and aesthetic both draw from Estela’s signature understated elegance, the space itself is considerably larger, with high ceilings and windows peering out onto Sixth Avenue.",234 Spring Street,,New York,NY,10013,,,https://altroparadiso.com/,altroparadiso,https://cdn.sanity.io/images/h20inf57/production/12669358de1c50fd8899752d39d68960ff8f7b98-1200x800.jpg?w=2440&auto=format,"[""https://cdn.sanity.io/images/h20inf57/production/2ffe3edee109d0a1a66ab6ca7116993861b15778-1436x712.png?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/c7ca6d50b1f05adc603c8fa0993910e6c3748f4a-1437x716.png?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/ebee303ca6e617f0d55cef5f8f6e0fa17fb98a1b-761x400.jpg?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/ce0f423ea08eed48261b030312ddefa6825ee561-1200x800.jpg?w=2440&auto=format""]",TRUE
59,Bamonte's,Family-owned Williamsburg spot serving traditional Italian-American cuisine since 1900.,"Since 1900, this family-owned spot in Williamsburg... maybe you're just not that fun.",32 Withers Street,,Brooklyn,NY,11211,,,https://bamontes.club/,bamontesrestaurant,https://cdn.sanity.io/images/h20inf57/production/d1aab1143d5a3ac1db2f5085dbb44f2e91454eca-1480x1094.png?w=960&auto=format,[],TRUE
60,Chinese Tuxedo,Located in building that once housed New York's first Chinese theater with eclectic mix of offerings.,"Located in the building that once housed New York's first Chinese theater... an eclectic mix, but it works.",5 Doyers Street,,New York,NY,10013,,,https://www.chinesetuxedo.com/,chinesetuxedo,https://cdn.sanity.io/images/h20inf57/production/739eff7d3a80671f4d1d574d8f2f6729de09b30d-1091x757.png?w=960&auto=format,[],TRUE
61,Cherry On Top,Former Oddfellows Ice Cream factory in Bushwick perfect for parties up to 70 guests.,Based out of a former Oddfellows Ice Cream factory in Bushwick... perfect for parties of up to 70.,379 Suydam Street,,Brooklyn,NY,11237,,,https://www.cherryontop.nyc/,cherry.on.top.nyc,https://cdn.sanity.io/images/h20inf57/production/f2719762b57bbe52fce17efa3e29497a7763511d-1440x1800.jpg?w=960&auto=format,[],TRUE
62,Charlie Bird,White tablecloth quality service in comfortably hip setting with something for every palate.,Offering white tablecloth quality service in a comfortably hip setting... something for every palate (and price point).,5 King Street,,New York,NY,10012,,,https://www.charliebirdnyc.com/,charliebirdnyc,https://cdn.sanity.io/images/h20inf57/production/aac34f306880562453b2c4df6d5ee30ef06a2056-1920x1276.jpg?w=960&auto=format,[],TRUE
63,Casino,Looking to feel like main characters with strong cocktails and soft jazz atmosphere.,If you and your crew are looking to feel like main characters... filled with strong cocktails and soft jazz.,171 E Broadway,,New York,NY,10002,,,https://www.casinonyc.com/,casino.ny,https://cdn.sanity.io/images/h20inf57/production/3b5fd85999ec41700cc5f618f4e0edbaced8b57a-8139x5429.jpg?w=960&auto=format,[],TRUE
64,Carbone,The OG red sauce joint from Major Food Group worthy of multiple Drake shoutouts.,The OG red sauce joint from Major Food Group... worthy of multiple Drake shoutouts.,181 Thompson Street,,New York,NY,10012,,,https://carbonenewyork.com/,,https://cdn.sanity.io/images/h20inf57/production/f5eba02e533b09eb0538b7418d519061c7c9bec8-1400x1400.jpg?w=960&auto=format,[],TRUE
65,Cabra,Launched in collaboration with Chicago's Boka Group with adjacent pool seating.,Launched in collaboration with Chicago's Boka Group... the adjacent pool provides seating for 32.,1060 South Broadway,,Los Angeles,CA,90015,,,https://www.cabralosangeles.com/,,https://cdn.sanity.io/images/h20inf57/production/d62de5cc22205735c88812a8a8abbfe3a11f7c1b-1200x812.jpg?w=960&auto=format,[],TRUE
66,Bridges,Newly opened restaurant perfect for celebrations and special gatherings.,Walking into the newly opened Bridges... perfect for celebrations or special gatherings.,9 Chatham Square,,New York,NY,10038,,,https://www.bridgesnyc.com/,,https://cdn.sanity.io/images/h20inf57/production/51f7a7c177ee03db6502e6564bd8aa45675bff18-903x898.png?w=960&auto=format,[],TRUE
67,Botanica,Tucked along picturesque stretch of Silverlake Boulevard with interior dining and patios.,Tucked along a picturesque stretch of Silverlake Boulevard... the interior dining room seats 32.,1620 Silver Lake Boulevard,,Los Angeles,CA,90026,,,https://www.botanicarestaurant.com/,,https://cdn.sanity.io/images/h20inf57/production/3bf519baa2317302dace87d4027ff00dd08647b0-2048x1365.jpg?w=960&auto=format,[],TRUE
68,Birdie G's,Named after James Beard-nominated chef's daughter with full buyout seating for up to 150.,Named after the James Beard-nominated chef's daughter... while a full buyout affords seating for up to 150.,2421 Michigan Avenue,,Santa Monica,CA,90404,,,https://www.birdiegsla.com/,,https://cdn.sanity.io/images/h20inf57/production/0841d32a807325456bce5e381e5de1f863b2988a-1536x1024.jpg?w=960&auto=format,[],TRUE
69,Bestia,Perpetually packed restaurant that led the charge with patio seating for up to 25 guests.,"The perpetually packed Bestia arguably led the charge... the patio, which comfortably seats up to 25 guests.",2121 East 7th Place,,Los Angeles,CA,90021,,,https://www.bestiala.com/,bestiadtla,https://cdn.sanity.io/images/h20inf57/production/ed90562363c3abb1905c3635ad53f493fbddcfdf-1536x790.jpg?w=960&auto=format,[],TRUE
70,Bavel,Sophomore hit from same team as Bestia maintaining convivial spirit of the interior.,The sophomore hit from the same team as Bestia... while maintaining the convivial spirit of the interior.,500 Mateo Street #102,,Los Angeles,CA,90013,,,https://baveldtla.com/,baveldtla,https://cdn.sanity.io/images/h20inf57/production/0b71439ecd7b739cad9800e6d44c19707575f121-1067x1600.jpg?w=960&auto=format,[],TRUE
71,Barbetta,"Landmarked brownstone on Restaurant Row since 1906, praised by Wine Spectator.","Since 1906, this landmarked brownstone on Restaurant Row... praised by Wine Spectator.",321 W 46th Street,,New York,NY,10036,,,https://www.barbettarestaurant.com/,barbettarestaurant,https://cdn.sanity.io/images/h20inf57/production/4d51b343a586f93f3577322ffedf0e0f57cca667-1372x772.jpg?w=960&auto=format,[],TRUE
72,Ci Siamo,Danny Meyer's latest venture with extensive Italian wine list.,The trek to Danny Meyer's latest venture... alongside an extensive Italian wine list.,440 W 33rd Street Suite #100,,New York,NY,10001,,,https://www.cisiamonyc.com/,,https://cdn.sanity.io/images/h20inf57/production/0fbe7c6823810119097a674fe2abbd1891613e9e-1488x1920.jpg?w=960&auto=format,[],TRUE
73,Eavesdrop,Inspired by jazz kissas accommodating groups of up to 36 guests.,Inspired by jazz kissas... Eavesdrop accommodates groups of up to 36 guests.,674 Manhattan Ave,,Brooklyn,NY,11222,,,https://www.eavesdropnyc.com/,,https://cdn.sanity.io/images/h20inf57/production/3fb02e809bf835da8e649f8ef6a137a400052cd7-1056x600.png?w=960&auto=format,[],TRUE
74,Dama,From the group behind Scopa Italian Roots providing seating for 190.,The group behind Scopa Italian Roots... provides seating for 190.,612 E 11th Street,,Los Angeles,CA,90015,,,https://www.damafashiondistrict.com/,,https://cdn.sanity.io/images/h20inf57/production/83ddac2f1b79f7e120e17946d0a7cc16a6c9cf7a-800x800.webp?w=960&auto=format,[],TRUE
75,Crown Shy,Situated on ground floor of landmarked Art Deco building with high caliber service.,Situated on the ground floor of a landmarked Art Deco building... with high caliber service to match.,70 Pine Street Ground Floor,,New York,NY,10005,,,https://www.crownshy.nyc/,,https://cdn.sanity.io/images/h20inf57/production/e79cc7c541ced2bf60a7a84f0c3537fdc305e935-1440x1800.jpg?w=960&auto=format,[],TRUE
76,Cosme,Mexico City chef Enrique Olvera's first foray into New York with best margaritas in the city.,Mexico City chef Enrique Olvera's first foray into New York... including some of the best margaritas the city has to offer.,35 E 21st Street,,New York,NY,10010,,,https://www.cosmenyc.com/,,https://cdn.sanity.io/images/h20inf57/production/539ad8cebb88f3f7956af41cc12bfaf4b65ece2e-690x763.png?w=960&auto=format,[],TRUE
77,Connie and Ted's,Santa Monica Boulevard seafood joint ideal for low key seafood celebrations.,This Santa Monica Boulevard seafood joint... ideal for low key seafood celebrations.,8171 Santa Monica Blvd,,West Hollywood,CA,90046,,,https://www.connieandteds.com/,,https://cdn.sanity.io/images/h20inf57/production/96540f2cfdf15a0cff778a8021f26afe20a6a548-1125x750.jpg?w=960&auto=format,[],TRUE
78,Cobi's,Helmed by husband and wife duo Lance Mueller and Cobi Marsh providing space for 48 seated.,Helmed by husband and wife duo Lance Mueller and Cobi Marsh... providing space for 48 seated.,2104 Main Street,,Santa Monica,CA,90405,,,https://www.cobissm.com/,,https://cdn.sanity.io/images/h20inf57/production/09137d3b58a41f78c7422b4b2ad431b3d2053444-4315x5394.jpg?w=960&auto=format,[],TRUE
79,El Quijote,Charming New Yorkers with robust Spanish fare since 1930 with refreshed contemporary menu.,"Since 1930, El Quijote has charmed New Yorkers with robust Spanish fare... refreshed the menu's relationship with contemporary Spanish cooking.",226 West 23rd Street,,New York,NY,10011,,,https://www.elquijotenyc.com/,,https://cdn.sanity.io/images/h20inf57/production/10d500bf7c143f3404d3b28e2e54cf2797f0b400-1416x1920.jpg?w=960&auto=format,[],TRUE
80,Elephante,Just a couple blocks from the beach with ocean room seating 44 guests.,Just a couple blocks from the beach... which seats 44.,1332 2nd Street Rooftop,,Santa Monica,CA,90401,,,https://www.elephante.com/,,https://cdn.sanity.io/images/h20inf57/production/6e73481cea697a301493143d6117836a4d7a7806-2114x1414.png?w=960&auto=format,[],TRUE
81,Frankies 457 Sputino,Serving Carroll Gardens for more than twenty years with Italian American dishes in homey atmosphere.,Serving Carroll Gardens for more than twenty years... Italian American dishes in a homey atmosphere.,457 Court Street,,Brooklyn,NY,11231,,,https://frankspm.com/,,https://cdn.sanity.io/images/h20inf57/production/579eed04b61ccbb678e387f6007bdf01e6fee5a1-3000x2000.jpg?w=960&auto=format,[],TRUE
82,Gage and Tollner,Historic dining establishment with elegant atmosphere and refined service.,Historic dining establishment with elegant atmosphere and refined service.,372 Fulton Street,,Brooklyn,NY,11201,,,https://www.gageandtollner.com/,,https://cdn.sanity.io/images/h20inf57/production/e325d8ca610253293276cdd2663768d328866005-1180x1406.png?w=960&auto=format,[],TRUE
83,ZZ's Clam Bar,"Enjoy an abundant family-style menu from Carbone’s kitchen, with a few ZZ’s favorites thrown in as well.","Major Food Group’s most intimate venue, located a few doors down from the ever bustling Carbone, presently serves an abbreviated menu of cold and raw bar items, but for buyouts, the space can serve as a private dining room for up to fourteen guests, complete with its own entrance and restroom. Diners will enjoy an abundant family-style menu primarily from Carbone’s kitchen, with a few ZZ’s favorites thrown in as well.",69 Thompson Street,,New York,NY,10012,,,,,https://cdn.sanity.io/images/h20inf57/production/c622ed27110a15088741700e5f11463fc289309f-1200x630.webp?w=2440&auto=format,"[""https://cdn.sanity.io/images/h20inf57/production/92043c48fd47fbbb121c5258c6d25470e3f44ca1-1600x1067.jpg?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/462a05a880d73f7c057ec03b57cae7c2bc1636b1-3024x4032.jpg?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/c622ed27110a15088741700e5f11463fc289309f-1200x630.webp?w=2440&auto=format""]",TRUE